triangle,target,leg1,leg2,score,adf_p,half_life,resid_std,n
MASKUSDT|ETHUSDT|BNBUSDT,MASKUSDT,ETHUSDT,BNBUSDT,-0.15508182736276263,0.0001667987508461781,18.589803433429974,0.22812703840429813,1104
AVAXUSDT|BTCUSDT|SOLUSDT,AVAXUSDT,BTCUSDT,SOLUSDT,-0.15527487903991935,4.398419095954829e-06,18.63245767449881,0.18319667896121836,1442
CHRUSDT|ETHUSDT|SOLUSDT,CHRUSDT,ETHUSDT,SOLUSDT,-0.15567886814622417,1.1658873042513487e-07,18.68145018689925,0.20536047218643347,1272
DYDXUSDT|BTCUSDT|BNBUSDT,DYDXUSDT,BTCUSDT,BNBUSDT,-0.15606047391315206,7.749488255550363e-05,18.717957483671587,0.1989027812922772,1090
MANAUSDT|BTCUSDT|ETHUSDT,MANAUSDT,BTCUSDT,ETHUSDT,-0.15682167760052815,6.328051301431185e-06,18.817841945907205,0.2369363734829736,1269
KSMUSDT|ETHUSDT|SOLUSDT,KSMUSDT,ETHUSDT,SOLUSDT,-0.15691120697106625,5.175603022082892e-06,18.8287237641653,0.1867013972718839,1421
THETAUSDT|BTCUSDT|SOLUSDT,THETAUSDT,BTCUSDT,SOLUSDT,-0.15737201577103233,2.0958593939174893e-05,18.88212686125118,0.16738376396079818,1451
ONEUSDT|BTCUSDT|BNBUSDT,ONEUSDT,BTCUSDT,BNBUSDT,-0.15778707338432316,6.854891592357521e-06,18.933626219127696,0.1879645341868272,1266
ADAUSDT|ETHUSDT|BNBUSDT,ADAUSDT,ETHUSDT,BNBUSDT,-0.1579893056283536,1.8550272529404815e-07,18.958694415075396,0.1608366975463162,1668
NEARUSDT|ETHUSDT|BNBUSDT,NEARUSDT,ETHUSDT,BNBUSDT,-0.1584765146788749,7.361694796689098e-06,19.01629835808939,0.21579328715457272,1420
KAVAUSDT|BTCUSDT|ETHUSDT,KAVAUSDT,BTCUSDT,ETHUSDT,-0.15851580326795472,2.227473206010117e-06,19.021629095369843,0.18286583984906624,1499
BTCDOMUSDT|BNBUSDT|SOLUSDT,BTCDOMUSDT,BNBUSDT,SOLUSDT,-0.15893554179192151,1.6508653275674092e-06,19.07206691119127,0.06172619726450152,1171
DYDXUSDT|ETHUSDT|BNBUSDT,DYDXUSDT,ETHUSDT,BNBUSDT,-0.15903060360949442,0.0001292243342216175,19.06816551303274,0.19729742726906468,1090
