n_triangles,window,entry_z,exit_z,weight_cap,is_sharpe,is_cagr,is_max_dd,is_n_days,robust_score,min_yearly_sharpe,yearly_sharpes
8,90,2.5,0.75,0.25,0.366282286876015,0.06247034466685886,-0.3557848206634734,1827,0.1508838637042303,-0.45577012460396504,"{2020: nan, 2021: 0.9448877011263428, 2022: 0.6354854452953729, 2023: 0.3090522177792169, 2024: -0.45577012460396504}"
12,90,3.0,0.75,0.2,0.2621951085092026,0.03128062953612476,-0.360444454954596,1827,0.14700053321890683,-0.12196005132361709,"{2020: nan, 2021: 0.643565001495744, 2022: -0.036306209030118226, 2023: 1.0366043081903884, 2024: -0.12196005132361709}"
12,90,2.5,0.5,0.2,0.37016355237072973,0.06965639128063983,-0.3770689204247647,1827,0.14086434925215338,-0.3472860475999489,"{2020: nan, 2021: 0.6217391133691396, 2022: 0.7064004534927193, 2023: 0.4321480082891444, 2024: -0.3472860475999489}"
12,120,2.0,0.75,0.25,0.511616534890823,0.12482155516398818,-0.44654233944209565,1827,0.13009595526641826,-0.193150451642529,"{2020: nan, 2021: 1.0739711836297041, 2022: 0.8981804201629561, 2023: 0.19478015957506503, 2024: -0.193150451642529}"
8,120,2.5,0.75,0.25,0.3691547675425874,0.06400454229110086,-0.3891555183619445,1827,0.12664793605389715,-0.34495608866992855,"{2020: nan, 2021: 0.665077932491005, 2022: 0.6845629529577318, 2023: 0.5676940610737485, 2024: -0.34495608866992855}"
12,150,2.0,0.75,0.15,0.35140598708193843,0.048566930178266965,-0.2665664252061938,1827,0.12114360901214433,-0.4901111083411262,"{2020: nan, 2021: -0.4901111083411262, 2022: 0.6087789193987012, 2023: 1.2695564389852771, 2024: -0.039536533871346924}"
12,90,3.0,0.75,0.25,0.27979577344546064,0.0366494878215875,-0.3848235039152893,1827,0.1129451401203537,-0.12593685602235682,"{2020: nan, 2021: 0.6435650014957439, 2022: 0.05956401654435721, 2023: 0.8807716649784733, 2024: -0.12593685602235682}"
12,90,3.0,0.5,0.15,0.19415019063427955,0.017735492695286625,-0.29517375220659814,1827,0.1077180700251756,-0.13879131965006114,"{2020: nan, 2021: 0.37969277797073475, 2022: -0.13879131965006114, 2023: 0.9612300422506176, 2024: -0.04381035854552787}"
12,150,2.0,0.75,0.2,0.3274827717684188,0.04975605339832678,-0.3443739989587373,1827,0.09876143157865296,-0.4901111083411268,"{2020: nan, 2021: -0.4901111083411268, 2022: 0.5806775926361415, 2023: 1.3722995733117902, 2024: -0.13859429957062028}"
12,120,2.0,0.75,0.2,0.43863642855871887,0.09076393479056888,-0.42229208001759555,1827,0.09778783968530724,-0.2726725807022841,"{2020: nan, 2021: 1.0885430107936414, 2022: 0.8067032120400659, 2023: 0.041898202483309936, 2024: -0.2726725807022841}"
8,120,2.0,0.75,0.25,0.3716226370240685,0.06778299356374684,-0.3926632114779438,1827,0.09564607370697412,-0.24923549086893987,"{2020: nan, 2021: 0.8862509410833835, 2022: 0.8097517041727211, 2023: -0.19051200818364705, 2024: -0.24923549086893987}"
8,120,3.0,0.5,0.2,0.23783323742308674,0.024932670149926617,-0.3276531747412945,1827,0.08577804060164687,-0.43104540412559383,"{2020: nan, 2021: 1.3993485273143964, 2022: -0.12280802926086576, 2023: 0.9027854751623408, 2024: -0.43104540412559383}"
8,120,3.0,0.5,0.15,0.23783323742308668,0.02137138326136001,-0.25290043187237776,1827,0.08577804060164683,-0.4310454041255937,"{2020: nan, 2021: 1.3993485273143964, 2022: -0.12280802926086595, 2023: 0.9027854751623404, 2024: -0.4310454041255937}"
10,150,3.0,0.75,0.15,0.09353493061265276,0.0035785336393119316,-0.2311799678906694,1827,0.07840424089494076,0.0076181179294310146,"{2020: nan, 2021: 0.32799243071091116, 2022: 0.0076181179294310146, 2023: 0.1383470272409234, 2024: 0.10300769336946206}"
10,150,3.0,0.75,0.2,0.08960269626503228,0.0008655942015085571,-0.286557991010012,1827,0.0722861881108325,-0.004483089267306364,"{2020: nan, 2021: 0.3279924307109111, 2022: -0.004483089267306364, 2023: 0.16930406430063238, 2024: 0.07142460558825009}"
12,90,3.0,0.5,0.2,0.18717046408653107,0.016825051642429978,-0.3730716525420742,1827,0.05586699386674672,-0.13856499593219268,"{2020: nan, 2021: 0.3796927779707351, 2022: -0.13856499593219268, 2023: 0.9704813363866127, 2024: -0.06380212846121544}"
10,90,3.0,0.5,0.25,0.20534871392424459,0.02046091074316969,-0.4059558273028596,1827,0.054316727278127835,-0.019188568072149498,"{2020: nan, 2021: 0.3417127994828736, 2022: -0.019188568072149498, 2023: 0.42810346460059, 2024: 0.3433464749265921}"
10,150,3.0,0.5,0.15,0.06417146774139003,-0.0004355921081468095,-0.24152508653157256,1827,0.043687630629055285,-0.04710904271644564,"{2020: nan, 2021: 0.2540293930488717, 2022: -0.04710904271644564, 2023: 0.06232632577221189, 2024: 0.16114355993510293}"
12,90,3.0,0.5,0.25,0.21055372308041959,0.02150887967473536,-0.3986780571998373,1827,0.039203155925172456,-0.05551908273421235,"{2020: nan, 2021: 0.37969277797073475, 2022: -0.05551908273421235, 2023: 0.9074262323241046, 2024: -0.052652866419739056}"
