time,S1,S2,S3,S4,S5,ensemble_eq,ensemble_opt,buy_hold,sample
2022-04-08 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,4.063770553801473,in_sample
2022-04-09 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,4.111741853780399,in_sample
2022-04-10 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,4.055225214908537,in_sample
2022-04-11 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.801675001900568,in_sample
2022-04-12 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.8550929931108016,in_sample
2022-04-13 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.9579738693544715,in_sample
2022-04-14 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.8411587017628617,in_sample
2022-04-15 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.900206223662698,in_sample
2022-04-16 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.8839912506507646,in_sample
2022-04-17 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.8154841925665175,in_sample
2022-04-18 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.9248510580149603,in_sample
2022-04-19 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.990990826270759,in_sample
2022-04-20 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.977018042405282,in_sample
2022-04-21 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.8925365895437007,in_sample
2022-04-22 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.8178995980418855,in_sample
2022-04-23 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.7929660698081054,in_sample
2022-04-24 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.794727102485366,in_sample
2022-04-25 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.888802815342733,in_sample
2022-04-26 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.665806038128763,in_sample
2022-04-27 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.7731328001478115,in_sample
2022-04-28 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.823509882472721,in_sample
2022-04-29 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.7118527122309013,in_sample
2022-04-30 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.619692002120938,in_sample
2022-05-01 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.6991790508322566,in_sample
2022-05-02 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.707368333937987,in_sample
2022-05-03 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.629161161434732,in_sample
2022-05-04 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.8188426647215117,in_sample
2022-05-05 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.5157814510331873,in_sample
2022-05-06 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.463874291136232,in_sample
2022-05-07 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.4130064292127416,in_sample
2022-05-08 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,3.2749433919413993,in_sample
2022-05-09 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,2.8923855064123725,in_sample
2022-05-10 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,2.9833721947374956,in_sample
2022-05-11 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5229958898979519,1.7438737766396397,2.035898661549958,2.194435185527829,2.797895998991496,in_sample
2022-05-12 00:00:00+00:00,3.1634502071610866,2.162269100532184,1.7353723866585982,1.5215490438025487,1.7438737766396397,2.035511840804263,2.1940182428425787,2.79269950912417,in_sample
